全国地方公共団体コード,都道府県名,市区町村名,医療機関コード,医療機関名,かかりつけのみ,電話番号,町,所在地1,所在地2,所在地3,所在地_緯度,所在地_経度
221309,静岡県,浜松市,2217210398,あいみるクリニック,かかりつけのみ,053-596-5037,宇布見,浜松市西区,雄踏町宇布見4863-1,,34.695984,137.637587
221309,静岡県,浜松市,2218201222,加藤医院,かかりつけのみ,053-592-1059,宇布見,浜松市西区,雄踏町宇布見7987-11,,34.701025,137.632435
221309,静岡県,浜松市,2217211024,平野医院,,053-592-1011,宇布見,浜松市西区,雄踏町宇布見4889-1,,34.696235,137.634185
221309,静岡県,浜松市,2218210041,医療法人社団和進会 鈴木医院,かかりつけのみ,053-592-1050,宇布見,浜松市西区,雄踏町宇布見8910-1,,34.700471,137.628787
221309,静岡県,浜松市,2217110705,新村医院,かかりつけのみ,053-487-0025,舘山寺町,浜松市西区,舘山寺町2686-1,,34.757009,137.610955
221309,静岡県,浜松市,2217111893,佐野外科胃腸科医院,かかりつけのみ,053-486-3411,湖東町,浜松市西区,湖東町1169-91,,34.759194,137.668302
221309,静岡県,浜松市,2217110697,竹内内科眼科クリニック,かかりつけのみ,053-486-0074,湖東町,浜松市西区,湖東町1487-41,,34.759736,137.665267
221309,静岡県,浜松市,2217104716,山城内科医院,,053-448-0862,志都呂町,浜松市西区,志都呂町1168,,34.700461,137.656443
221309,静岡県,浜松市,2217200522,いしだクリニック,かかりつけのみ,053-488-5205,志都呂二,浜松市西区,志都呂2-38-15,,34.696930,137.653610
221309,静岡県,浜松市,2217210141,ピュアレディースクリニック,かかりつけのみ,053-440-4188,志都呂二,浜松市西区,志都呂2-12-7,,34.698142,137.650495
221309,静岡県,浜松市,2217110598,医療法人社団志都呂高橋内科医院,かかりつけのみ,053-448-7521,志都呂二,浜松市西区,志都呂2-22-10,,34.699695,137.650135
221309,静岡県,浜松市,2217211412,伊藤医院,かかりつけのみ,053-415-3111,篠原町,浜松市西区,篠原町12589-1,,34.682508,137.660282
221309,静岡県,浜松市,2217111109,志都呂クリニック,,053-448-8188,西鴨江町,浜松市西区,西鴨江町621,,34.700036,137.664985
221309,静岡県,浜松市,2217201736,なかたにクリニック,,053-488-0123,村櫛町,浜松市西区,村櫛町3995-1,,34.723974,137.600373
221309,静岡県,浜松市,2217211420,東山診療所,,053-414-2511,大山町,浜松市西区,大山町2841-1,,34.774542,137.678548
221309,静岡県,浜松市,2217110853,藤井内科医院,,053-485-4481,大人見町,浜松市西区,大人見町12-12,,34.733882,137.643426
221309,静岡県,浜松市,2217200233,戸澤内科消化器科クリニック,かかりつけのみ,053-482-1122,大平台一,浜松市西区,大平台1-22-33,,34.720244,137.684599
221309,静岡県,浜松市,2217106711,西岸スズキクリニック,かかりつけのみ,053-484-0808,大平台二,浜松市西区,大平台3-29-5,,34.712752,137.678049
221309,静岡県,浜松市,2218210066,舞阪クリニック,かかりつけのみ,053-596-1116,長十新田,浜松市西区,舞阪町長十新田98-1,,34.682215,137.613183
221309,静岡県,浜松市,2217112248,いわさき耳鼻咽喉科医院,かかりつけのみ,053-445-3399,坪井町,浜松市西区,坪井町4693-3,,34.682961,137.652761
221309,静岡県,浜松市,2217201348,しんぼ泌尿器科クリニック,かかりつけのみ,053-415-1555,入野町,浜松市西区,入野町8871-1,,34.702141,137.685135
221309,静岡県,浜松市,2217210232,たかはし内科クリニック,かかりつけのみ,053-445-1322,入野町,浜松市西区,入野町9436-1,,34.698084,137.685170
221309,静岡県,浜松市,2217111737,なかむらクリニック,,053-440-3687,入野町,浜松市西区,入野町19954-550,,34.702710,137.683457
221309,静岡県,浜松市,2217211701,加藤内科クリニック,かかりつけのみ,053-448-1101,入野町,浜松市西区,入野町16100-1,,34.700994,137.673098
221309,静岡県,浜松市,2217111190,牛田外科内科医院,,053-448-1001,入野町,浜松市西区,入野町6299-2,,34.700083,137.689528
221309,静岡県,浜松市,2217110838,医療法人社団松愛会松田病院,,053-448-5121,入野町,浜松市西区,入野町753,,34.697772,137.698583
221309,静岡県,浜松市,2217210125,中西整形外科医院,かかりつけのみ,053-447-1611,入野町,浜松市西区,入野町16101-16,,34.701210,137.672296
221309,静岡県,浜松市,2217210422,鈴木内科消化器科医院,,053-415-0101,入野町,浜松市西区,入野町9863-6,,34.698031,137.677875
221309,静岡県,浜松市,2217210521,かなめ整形外科,かかりつけのみ,053-597-1500,馬郡町,浜松市西区,馬郡町6048,,34.686135,137.628264
221309,静岡県,浜松市,2217201645,たつた内科医院,,053-592-8511,馬郡町,浜松市西区,馬郡町4026,,34.681911,137.628473
221309,静岡県,浜松市,2217106984,松並木クリニック,,053-596-1390,馬郡町,浜松市西区,馬郡町3111,,34.682926,137.636308
221309,静岡県,浜松市,2217210307,医療法人社団　藤野内科医院,,053-592-4151,舞阪,浜松市西区,舞阪町舞阪2121,,34.686256,137.607805
221309,静岡県,浜松市,2218201206,正田医院,かかりつけのみ,053-592-0251,弁天島,浜松市西区,舞阪町弁天島2731-1,,34.691788,137.604566
221309,静岡県,浜松市,2218201214,弁天島田中外科クリニック,,053-597-1888,弁天島,浜松市西区,舞阪町弁天島2658-95,,34.691516,137.602946
221309,静岡県,浜松市,2217211305,鈴木内科クリニック,かかりつけのみ,053-438-5255,葵西四,浜松市中区,葵西4-20-17,,34.772275,137.703476
221309,静岡県,浜松市,2217107818,はやかわクリニック,かかりつけのみ,053-412-5070,曳馬五,浜松市中区,曳馬5-17-9,,34.732961,137.736342
221309,静岡県,浜松市,2217211081,大脇産婦人科医院,かかりつけのみ,053-411-0800,曳馬三,浜松市中区,曳馬3-3-22,,34.724547,137.744224
221309,静岡県,浜松市,2217202007,野中内科ハートクリニック,,053-545-3033,曳馬四,浜松市中区,曳馬4丁目1-17,,34.730304,137.740796
221309,静岡県,浜松市,2217110655,小島医院,,053-461-7692,曳馬二,浜松市中区,曳馬2-3-1,,34.725554,137.741933
221309,静岡県,浜松市,2217201975,木もれび内科クリニック,かかりつけのみ,053-474-1110,下池川町,浜松市中区,下池川町20-1,,34.715898,137.726160
221309,静岡県,浜松市,2217110648,小出胃腸科内科医院,,053-464-3000,茄子町,浜松市中区,茄子町352-1,,34.720119,137.750117
221309,静岡県,浜松市,2217110630,中島内科消化器科医院,かかりつけのみ,053-453-6516,海老塚二,浜松市中区,海老塚2-17-23,,34.698081,137.731042
221309,静岡県,浜松市,2217106810,かえで医院,,053-450-1600,鴨江一,浜松市中区,鴨江1-13-16,ラスカサス1F,34.702364,137.722080
221309,静岡県,浜松市,2217210323,木村内科消化器科クリニック,かかりつけのみ,053-453-9781,鴨江四,浜松市中区,鴨江4丁目19-23,,34.707107,137.720300
221309,静岡県,浜松市,2217111570,たく整形外科医院,,053-453-1122,鴨江二,浜松市中区,鴨江2丁目56-5,,34.704897,137.706862
221309,静岡県,浜松市,2217110994,木村敏夫内科医院,,053-452-7215,鴨江二,浜松市中区,鴨江2丁目52番29号,,34.704159,137.708171
221309,静岡県,浜松市,2217107073,清水クリニック,,053-467-0911,向宿一,浜松市中区,向宿1-21-16,,34.705718,137.754069
221309,静岡県,浜松市,2217210588,医療法人鶴友会 かきのきクリニック,,053-476-5500,幸一,浜松市中区,幸1-4-15,プリンセスコート1F,34.739544,137.723853
221309,静岡県,浜松市,2217211370,まつばやしこどもクリニック,かかりつけのみ,053-412-1234,幸一,浜松市中区,幸1丁目15-3,幸メディカルビル2階,34.741965,137.725565
221309,静岡県,浜松市,2217211206,橘整形外科クリニック,,053-412-0550,幸一,浜松市中区,幸1丁目15-3,幸メディカル1F,34.741965,137.725565
221309,静岡県,浜松市,2217111430,泌尿器科内科三樹医院,かかりつけのみ,053-473-1662,幸一,浜松市中区,幸1-2-27,,34.738329,137.724802
221309,静岡県,浜松市,2217102314,内山外科整形外科医院,かかりつけのみ,053-472-3161,幸五,浜松市中区,幸5-7-1,,34.745724,137.724386
221309,静岡県,浜松市,2217200704,四ツ池メディカル・ヴィレッジ,かかりつけのみ,053-478-7878,幸三,浜松市中区,幸3-5-26,,34.742943,137.730376
221309,静岡県,浜松市,2217211057,坂の上在宅医療支援医院,かかりつけのみ,053-416-2014,幸四,浜松市中区,幸4丁目36-2,,34.746028,137.732566
221309,静岡県,浜松市,2217104898,西田内科医院,,053-473-0188,幸四,浜松市中区,幸4-7-1,,34.745604,137.727025
221309,静岡県,浜松市,2217111992,長尾小児科医院,かかりつけのみ,053-453-5221,広沢一,浜松市中区,広沢1-9-18,,34.715335,137.717695
221309,静岡県,浜松市,2217111638,神経科浜松病院,かかりつけのみ,053-454-5361,広沢二,浜松市中区,広沢2丁目56番1号,,34.715801,137.710797
221309,静岡県,浜松市,2217112321,医療法人社団　井上医院,,053-430-0520,高丘西三,浜松市中区,高丘西3-46-5,,34.761898,137.699143
221309,静岡県,浜松市,2217201967,いそべハートクリニック,,053-414-7000,高丘東一,浜松市中区,高丘東1-2-33,,34.754456,137.710588
221309,静岡県,浜松市,2217107032,かねだ内科・消化器科クリニック,かかりつけのみ,053-414-0888,高丘東二,浜松市中区,高丘東2丁目8-26,,34.755278,137.712860
221309,静岡県,浜松市,2217111299,大竹内科医院,,053-437-5800,高丘北一,浜松市中区,高丘北1-33-2,,34.762079,137.708814
221309,静岡県,浜松市,2217106455,しみず内科クリニック,かかりつけのみ,053-439-6226,高丘北三,浜松市中区,高丘北3-10-16,,34.764313,137.698986
221309,静岡県,浜松市,2217200191,すずきメディカルクリニック,かかりつけのみ,053-416-0111,高林四,浜松市中区,高林4-6-40,,34.729220,137.734041
221309,静岡県,浜松市,2217106521,いくた内科医院,かかりつけのみ,053-479-3500,高林二,浜松市中区,高林2-10-18,,34.725957,137.735736
221309,静岡県,浜松市,2217110804,浜松佐藤町診療所,かかりつけのみ,053-465-0210,佐藤一,浜松市中区,佐藤一丁目22-22,,34.712104,137.744616
221309,静岡県,浜松市,2217210315,内科リウマチ科福間クリニック,かかりつけのみ,053-411-0202,佐藤三,浜松市中区,佐藤3-7-8,,34.712346,137.750098
221309,静岡県,浜松市,2217201744,中込クリニック,かかりつけのみ,053-450-5050,佐鳴台五,浜松市中区,佐鳴台5-15-25,,34.713129,137.696185
221309,静岡県,浜松市,2217105481,マスダクリニック,かかりつけのみ,053-448-0066,佐鳴台三,浜松市中区,佐鳴台3-29-22,,34.706481,137.696271
221309,静岡県,浜松市,2217110580,髙平内科,かかりつけのみ,053-456-0031,佐鳴台四,浜松市中区,佐鳴台4-3-12,,34.705677,137.701695
221309,静岡県,浜松市,2217111075,栗田内科医院,かかりつけのみ,053-448-2115,佐鳴台二,浜松市中区,佐鳴台2-32-15,,34.701806,137.691921
221309,静岡県,浜松市,2217210893,シティークリニック,かかりつけのみ,053-450-8666,砂山町,浜松市中区,砂山町329-1,グランドガーデンボンサンテ1 階A,34.703229,137.737158
221309,静岡県,浜松市,2217111661,宅間内科皮膚科,かかりつけのみ,053-471-3050,山下町,浜松市中区,山下町28,,34.715100,137.730579
221309,静岡県,浜松市,2217111448,山手クリニック,かかりつけのみ,053-452-2803,山手町,浜松市中区,山手町22-14,,34.710670,137.704826
221309,静岡県,浜松市,2217107156,小島外科消化器科医院,かかりつけのみ,053-413-6636,山手町,浜松市中区,山手町23-12,,34.710308,137.703816
221309,静岡県,浜松市,2217106224,けいクリニック,,053-453-8550,寺島町,浜松市中区,寺島町179,,34.698490,137.737512
221309,静岡県,浜松市,2217110663,ながさかハートクリニック,かかりつけのみ,053-454-1477,寺島町,浜松市中区,寺島町1057,,34.698361,137.734892
221309,静岡県,浜松市,2217210729,山本内科クリニック,,053-413-7711,寺島町,浜松市中区,寺島町300-1,,34.700413,137.741855
221309,静岡県,浜松市,2217201298,にべ医院,,053-472-8519,鹿谷町,浜松市中区,鹿谷町38-7,,34.717719,137.718865
221309,静岡県,浜松市,2217111281,一貫堂内科消化器科医院,かかりつけのみ,053-475-1551,鹿谷町,浜松市中区,鹿谷町34-32,,34.716267,137.720530
221309,静岡県,浜松市,2217211289,冨田呼吸器アレルギー内科医院,,053-412-2222,住吉一,浜松市中区,住吉1-41-19,,34.731305,137.726778
221309,静岡県,浜松市,2217111315,聖隷健康診断センター,,0570-550-216,住吉二,浜松市中区,住吉2-35-8,,34.731305,137.726778
221309,静岡県,浜松市,2217111943,大石内科痛みのクリニック,かかりつけのみ,053-474-8500,住吉二,浜松市中区,住吉2-9-8,,34.729697,137.726832
221309,静岡県,浜松市,2217110507,丸山病院,かかりつけのみ,053-473-6721,助信町,浜松市中区,助信町39-10,,34.723450,137.737749
221309,静岡県,浜松市,2218300834,東漢堂内科クリニック,かかりつけのみ,053-430-1188,小豆餅一,浜松市中区,小豆餅1-17-7,,34.753631,137.723691
221309,静岡県,浜松市,2217210208,坂の上ファミリークリニック,,053-416-1164,小豆餅四,浜松市中区,小豆餅4丁目4-20,,34.750484,137.732825
221309,静岡県,浜松市,2217201868,すずしろクリニック,,053-489-4159,松城町,浜松市中区,松城町200-10,,34.711727,137.722552
221309,静岡県,浜松市,2217201082,山下循環器クリニック,かかりつけのみ,053-416-2811,上島五,浜松市中区,上島5丁目12番28号,,34.742839,137.743819
221309,静岡県,浜松市,2217201710,かしの樹クリニック,,053-416-0606,上島六,浜松市中区,上島6-3-41,,34.741881,137.738624
221309,静岡県,浜松市,2217107313,中川原内科胃腸科医院,かかりつけのみ,053-471-9176,城北一,浜松市中区,城北1-16-6,,34.718739,137.722956
221309,静岡県,浜松市,2217201314,舘野医院,かかりつけのみ,053-471-3014,城北二,浜松市中区,城北2-1-20,,34.722431,137.719492
221309,静岡県,浜松市,2217200167,七草ファミリークリニック,かかりつけのみ,053-462-7793,新津町,浜松市中区,新津町40-1,サンポートビル101,34.723427,137.738646
221309,静岡県,浜松市,2217211594,たなか内科クリニック,,053-444-3001,神田町,浜松市中区,神田町360-27,,34.691944,137.720485
221309,静岡県,浜松市,2217107602,大久保外科・消化器科医院,,053-453-4598,菅原町,浜松市中区,菅原町16番15号,,34.697919,137.722870
221309,静岡県,浜松市,2217210265,おかやま内科,,053-456-0220,西伊場町,浜松市中区,西伊場町57-6,,34.699553,137.701155
221309,静岡県,浜松市,2217211529,そえだ医院,,053-471-5000,泉三,浜松市中区,泉3-1-58,,34.745706,137.723543
221309,静岡県,浜松市,2217201249,篠田内科,かかりつけのみ,053-416-1616,泉二,浜松市中区,泉2-36-11,,34.743302,137.719081
221309,静岡県,浜松市,2217211255,ひかり在宅クリニック,かかりつけのみ,053-461-3366,船越町,浜松市中区,船越町52-30,,34.717938,137.749763
221309,静岡県,浜松市,2217107040,夏目クリニック,かかりつけのみ,053-469-1231,早出町,浜松市中区,早出町222-4,,34.738899,137.752854
221309,静岡県,浜松市,2217107321,賛天堂外科医院,かかりつけのみ,053-461-0355,相生町,浜松市中区,相生町14-15,,34.708599,137.747887
221309,静岡県,浜松市,2217106646,松永内科クリニック,,053-450-0560,中央一,浜松市中区,中央一丁目15-5,浜松メディカルパークビル4F,34.709588,137.735383
221309,静岡県,浜松市,2217110978,渡辺医院,,053-452-6940,中央三,浜松市中区,中央3-6-13,,34.708637,137.740333
221309,静岡県,浜松市,2217200779,つばさ内科,かかりつけのみ,053-482-8020,中央二,浜松市中区,中央2-9-1,,34.710660,137.737822
221309,静岡県,浜松市,2217106489,矢部内科医院,かかりつけのみ,053-452-7770,田町,浜松市中区,田町226-19,,34.709242,137.730324
221309,静岡県,浜松市,2217107552,山口内科クリニック,かかりつけのみ,053-452-4893,東伊場一,浜松市中区,東伊場1-11-2,,34.699763,137.724306
221309,静岡県,浜松市,2217211743,クリニックフクダ,,053-488-8020,東伊場二,浜松市中区,東伊場2-7-1,商工会議所1階,34.698998,137.717510
221309,静岡県,浜松市,2217112271,さなるサンクリニック,かかりつけのみ,053-457-3221,東伊場二,浜松市中区,東伊場2-14-39,,34.697257,137.717386
221309,静岡県,浜松市,2217211032,和田医院,,053-444-5577,南浅田二,浜松市中区,南浅田2-18-38,,34.688837,137.730943
221309,静岡県,浜松市,2217111612,松下クリニック,かかりつけのみ,053-475-5225,萩丘四,浜松市中区,萩丘4-6-9,,34.746510,137.736856
221309,静岡県,浜松市,2217105937,相羽内科クリニック,かかりつけのみ,053-458-6776,板屋町,浜松市中区,板屋町110-5,,34.706241,137.735268
221309,静岡県,浜松市,2217210695,つね医院,,053-472-2500,富塚町,浜松市中区,富塚町1547-1,,34.732236,137.710260
221309,静岡県,浜松市,2217106091,橋本内科クリニック,かかりつけのみ,053-485-7200,富塚町,浜松市中区,富塚町3780-85,,34.724822,137.688881
